t,s_mm_fore,s_mm_hind,beta_deg_fore,beta_deg_hind,alpha_deg_fore,alpha_deg_hind,d_mm_fore,d_mm_hind
1.36,3.1750878577787462,0.44982832485175356,99.03296683985629,96.37177180487575,60.22008451982347,88.19709455037544,1.0719959875829586,0.15755113513318214
1.3800000000000001,1.6110121787485763,-1.7679916301709864,97.22852077814906,94.15340920545663,70.16933592326325,85.8735796292043,1.5030898260974046,0.08621774058447557
1.4000000000000001,-0.1925385863527945,-3.758721204411491,94.98653748605881,92.435307715615,80.52887728280446,83.07508049554421,1.7782829384794576,0.08879687584098395
1.42,-2.1160652285656023,-5.605750228690607,92.35605768552105,88.50231322090418,88.5941353703136,78.72417717286677,1.9634922614812507,0.1270547677091103
1.44,-4.086931422725624,-7.279307916173663,90.57489463204391,86.62757068213872,95.81788929298338,76.28738753364406,1.9762561133168497,0.4404790663063312
1.46,-6.041163986912009,-9.221906156330467,86.03203777678007,86.76867915750165,101.95375701554472,76.88924520526912,1.7214655857848808,1.1265738151823517
1.48,-7.9440942850913965,-10.770656026886515,83.49806029727159,86.37162056848281,107.49184839084853,77.86969220262085,1.2120907386990267,1.7276537809912096
1.5,-9.623291237606217,-12.268130711618577,80.04091446842874,84.69750372523221,112.51797803611872,85.18514541093103,0.6146877031138461,1.9778140489676337
1.52,-11.211893573253537,-13.808543827647014,76.92614939722105,84.55598703246937,114.4022521785531,95.81621600812421,0.08875051224569412,2.0759028672542277
1.54,-12.990020935750858,-15.392865372752592,77.59807850597471,83.9929375982961,114.45116828215674,105.7268991039683,-0.2510269485483745,1.8485968870609564
1.56,-14.6807600323846,-16.37298407265245,79.0412126437344,84.148942236202,108.77941278975337,110.58691806990264,-0.48305358077768934,1.56035029239793
1.58,-15.8610033939807,-17.356742925814704,79.4504605543958,83.13217009206923,100.38191036336792,110.46951942125398,-0.5696834646916329,0.9903572663119438
